idAutobus,marcaTiempo,latitud,longitud,velocidad
BUS01,2024-05-16 10:00,40.416800,-3.703800,23
BUS01,2024-05-16 10:01,40.416768,-3.703301,17
BUS01,2024-05-16 10:02,40.416692,-3.702807,30
BUS01,2024-05-16 10:03,40.416562,-3.702324,22
BUS01,2024-05-16 10:04,40.416345,-3.701874,16
BUS01,2024-05-16 10:05,40.416118,-3.701428,32
BUS01,2024-05-16 10:06,40.415845,-3.701009,20
BUS01,2024-05-16 10:07,40.415518,-3.700631,19
BUS01,2024-05-16 10:08,40.415202,-3.700243,31
BUS01,2024-05-16 10:09,40.414817,-3.699925,21
BUS01,2024-05-16 10:10,40.414420,-3.699621,19
BUS01,2024-05-16 10:11,40.414016,-3.699327,6
BUS01,2024-05-16 10:12,40.413618,-3.699024,16
BUS01,2024-05-16 10:13,40.413277,-3.698658,8
BUS01,2024-05-16 10:14,40.412932,-3.698296,31
BUS01,2024-05-16 10:15,40.412590,-3.697931,31
BUS01,2024-05-16 10:16,40.412226,-3.697589,21
BUS01,2024-05-16 10:17,40.411895,-3.697214,14
BUS01,2024-05-16 10:18,40.411549,-3.696852,8
BUS01,2024-05-16 10:19,40.411188,-3.696507,10
BUS01,2024-05-16 10:20,40.410884,-3.696110,18
BUS01,2024-05-16 10:21,40.410583,-3.695711,10
BUS01,2024-05-16 10:22,40.410223,-3.695364,3
BUS01,2024-05-16 10:23,40.409836,-3.695047,9
BUS01,2024-05-16 10:24,40.409446,-3.694734,27
BUS01,2024-05-16 10:25,40.409046,-3.694434,0
BUS01,2024-05-16 10:26,40.408635,-3.694150,24
BUS01,2024-05-16 10:27,40.408219,-3.693872,19
BUS01,2024-05-16 10:28,40.407767,-3.693659,13
BUS01,2024-05-16 10:29,40.407309,-3.693457,24
BUS01,2024-05-16 10:30,40.406890,-3.693185,23
BUS01,2024-05-16 10:31,40.406494,-3.692879,3
BUS01,2024-05-16 10:32,40.406054,-3.692642,36
BUS01,2024-05-16 10:33,40.405588,-3.692462,35
BUS01,2024-05-16 10:34,40.405120,-3.692284,28
BUS01,2024-05-16 10:35,40.404677,-3.692053,38
BUS01,2024-05-16 10:36,40.404202,-3.691895,35
BUS01,2024-05-16 10:37,40.403725,-3.691745,39
BUS01,2024-05-16 10:38,40.403236,-3.691643,25
BUS01,2024-05-16 10:39,40.402752,-3.691515,23
BUS01,2024-05-16 10:40,40.402260,-3.691429,29
BUS01,2024-05-16 10:41,40.401769,-3.691333,10
BUS01,2024-05-16 10:42,40.401271,-3.691285,31
BUS01,2024-05-16 10:43,40.400781,-3.691186,8
BUS01,2024-05-16 10:44,40.400284,-3.691135,9
BUS01,2024-05-16 10:45,40.399784,-3.691149,33
BUS01,2024-05-16 10:46,40.399288,-3.691213,0
BUS01,2024-05-16 10:47,40.398789,-3.691230,36
BUS01,2024-05-16 10:48,40.398290,-3.691267,28
BUS01,2024-05-16 10:49,40.397797,-3.691352,30
BUS02,2024-05-16 10:00,40.417900,-3.705500,19
BUS02,2024-05-16 10:01,40.417674,-3.705946,17
BUS02,2024-05-16 10:02,40.417456,-3.706396,19
BUS02,2024-05-16 10:03,40.417242,-3.706848,6
BUS02,2024-05-16 10:04,40.417105,-3.707329,16
BUS02,2024-05-16 10:05,40.417032,-3.707823,10
BUS02,2024-05-16 10:06,40.416955,-3.708318,31
BUS02,2024-05-16 10:07,40.416914,-3.708816,36
